--------
General Information:
Found 53092 rows in total across all CSV files.
Available models: Model, anthropic/claude-sonnet-4, deepseek/deepseek-chat-v3.1, google/gemini-2.5-pro, google/gemma-3-27b-it, meta-llama/llama-4-maverick, microsoft/phi-4, openai/gpt-5, openai/gpt-oss-120b, x-ai/grok-4-fast, human
Unique phrases evaluated: 7034
Unique dates evaluated: 251
Maximum number rows for a single model: 6892
--------
Average grade (global models only): -0.1826486598481851797437514051125617697834968566894531250000000000
Average grade (global models + human): -0.1822055373064289107709612380858743563294410705566406250000000000
 > Average grade for anthropic/claude-sonnet-4: -0.2572307692307692073008240640774602070450782775878906250000000000
 > Average grade for deepseek/deepseek-chat-v3.1: -0.4851293935882580177221257144992705434560775756835937500000000000
 > Average grade for google/gemini-2.5-pro: -0.2822689562029712662116764931852230802178382873535156250000000000
 > Average grade for google/gemma-3-27b-it: -0.1441514318071509537233509945508558303117752075195312500000000000
 > Average grade for meta-llama/llama-4-maverick: -0.0248291951341443085932159107187544577755033969879150390625000000
 > Average grade for microsoft/phi-4: -0.1157864190365641282598474504084151703864336013793945312500000000
 > Average grade for openai/gpt-5: -0.2145748987854250999784966325023560784757137298583984375000000000
 > Average grade for openai/gpt-oss-120b: -0.1160012574662055984120456741948146373033523559570312500000000000
 > Average grade for x-ai/grok-4-fast: -0.0415125359638306642984240113491978263482451438903808593750000000
 > Average grade for human: -0.0543478260869565202306752382810373092070221900939941406250000000
--------
Grade frequency (global models only): [-1]: 31394 [1]: 21697 
Grade frequency (global models + human): [-1]: 31491 [1]: 21784 
 > Grade frequency for anthropic/claude-sonnet-4: [-1]: 4086 [1]: 2414 
 > Grade frequency for deepseek/deepseek-chat-v3.1: [-1]: 3845 [1]: 1333 
 > Grade frequency for google/gemini-2.5-pro: [-1]: 3323 [1]: 1860 
 > Grade frequency for google/gemma-3-27b-it: [-1]: 3536 [1]: 2645 
 > Grade frequency for meta-llama/llama-4-maverick: [-1]: 3075 [1]: 2926 
 > Grade frequency for microsoft/phi-4: [-1]: 3845 [1]: 3047 
 > Grade frequency for openai/gpt-5: [-1]: 3600 [1]: 2328 
 > Grade frequency for openai/gpt-oss-120b: [-1]: 3550 [1]: 2812 
 > Grade frequency for x-ai/grok-4-fast: [-1]: 2534 [1]: 2332 
 > Grade frequency for human: [-1]: 97 [1]: 87 
--------
Standard Deviation (global models only): 0.9831875073543554499622132425429299473762512207031250000000000000
Standard Deviation (global models + human): 0.9832696933627210755801684172183740884065628051757812500000000000

 > Standard Deviation for anthropic/claude-sonnet-4: 0.9664243477786582658950464974623173475265502929687500000000000000
 > Standard Deviation for deepseek/deepseek-chat-v3.1: 0.8745268279167021097109113725309725850820541381835937500000000000
 > Standard Deviation for google/gemini-2.5-pro: 0.9594278693909605859602152122533880174160003662109375000000000000
 > Standard Deviation for google/gemma-3-27b-it: 0.9896356979238118967145965143572539091110229492187500000000000000
 > Standard Deviation for meta-llama/llama-4-maverick: 0.9997750121839924508648778100905474275350570678710937500000000000
 > Standard Deviation for microsoft/phi-4: 0.9933462017231674545669761755561921745538711547851562500000000000
 > Standard Deviation for openai/gpt-5: 0.9767899282783304437671745290572289377450942993164062500000000000
 > Standard Deviation for openai/gpt-oss-120b: 0.9933271368566852776993414408934768289327621459960937500000000000
 > Standard Deviation for x-ai/grok-4-fast: 0.9992406641953496260200040524068754166364669799804687500000000000
 > Standard Deviation for human: 1.0012465502123781835308591325883753597736358642578125000000000000
--------
95% Confidence Interval (global models only): (-0.1910118888706772155572366500564385205507278442382812500000000000, -0.1742854308256931439302661601686850190162658691406250000000000000)
95% Confidence Interval (global models + human): (-0.1905550093563775637672819129875279031693935394287109375000000000, -0.1738560652564802577746405631842208094894886016845703125000000000)
 > 95% Confidence Interval for anthropic/claude-sonnet-4: (-0.2807248942583214779133982119674328714609146118164062500000000000, -0.2337366442032169366882499161874875426292419433593750000000000000)
 > 95% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5089493084497906938423739120480604469776153564453125000000000000, -0.4613094787267252860907262856926536187529563903808593750000000000)
 > 95% Confidence Interval for google/gemini-2.5-pro: (-0.3083887543419389087873128119099419564008712768554687500000000000, -0.2561491580640036236360401744605042040348052978515625000000000000)
 > 95% Confidence Interval for google/gemma-3-27b-it: (-0.1688228475598888556064025578962173312902450561523437500000000000, -0.1194800160544130379625116233910375740379095077514648437500000000)
 > 95% Confidence Interval for meta-llama/llama-4-maverick: (-0.0501244206515294651871350595229159807786345481872558593750000000, 0.0004660303832408480007032380854070652276277542114257812500000000)
 > 95% Confidence Interval for microsoft/phi-4: (-0.1392382141939794981677636087624705396592617034912109375000000000, -0.0923346238791487583519312920543598011136054992675781250000000000)
 > 95% Confidence Interval for openai/gpt-5: (-0.2394402825546035895598606657586060464382171630859375000000000000, -0.1897095150162466103971325992461061105132102966308593750000000000)
 > 95% Confidence Interval for openai/gpt-oss-120b: (-0.1404098961591412342286844250338617712259292602539062500000000000, -0.0915926187732699487176191155413107480853796005249023437500000000)
 > 95% Confidence Interval for x-ai/grok-4-fast: (-0.0695883358398000639866154415358323603868484497070312500000000000, -0.0134367360878612715491264850697916699573397636413574218750000000)
 > 95% Confidence Interval for human: (-0.1990184026398366112786675330426078289747238159179687500000000000, 0.0903227504659235846951048642949899658560752868652343750000000000)
--------
99% Confidence Interval (global models only): (-0.1936398058888002537969441618770360946655273437500000000000000000, -0.1716575138075701056905586483480874449014663696289062500000000000)
99% Confidence Interval (global models + human): (-0.1931786036204342915656440027305507101118564605712890625000000000, -0.1712324709924235299762784734411980025470256805419921875000000000)
 > 99% Confidence Interval for anthropic/claude-sonnet-4: (-0.2881072833833556723348578998411539942026138305664062500000000000, -0.2263542550781827422667902283137664198875427246093750000000000000)
 > 99% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5164340681600075866342081098991911858320236206054687500000000000, -0.4538247190165084488100433190993499010801315307617187500000000000)
 > 99% Confidence Interval for google/gemini-2.5-pro: (-0.3165961897541140768197465149569325149059295654296875000000000000, -0.2479417226518284833591820870424271561205387115478515625000000000)
 > 99% Confidence Interval for google/gemma-3-27b-it: (-0.1765751682417025514304498301498824730515480041503906250000000000, -0.1117276953725993560162521589518291875720024108886718750000000000)
 > 99% Confidence Interval for meta-llama/llama-4-maverick: (-0.0580727565676717877307666526576213072985410690307617187500000000, 0.0084143662993831670748878792664982029236853122711181640625000000)
 > 99% Confidence Interval for microsoft/phi-4: (-0.1466073023098211358661302483596955426037311553955078125000000000, -0.0849655357633071206535646524571347981691360473632812500000000000)
 > 99% Confidence Interval for openai/gpt-5: (-0.2472535524044963683998332726332591846585273742675781250000000000, -0.1818962451663538315571599923714529722929000854492187500000000000)
 > 99% Confidence Interval for openai/gpt-oss-120b: (-0.1480796463044349309257086133584380149841308593750000000000000000, -0.0839228686279762658983827350311912596225738525390625000000000000)
 > 99% Confidence Interval for x-ai/grok-4-fast: (-0.0784103915425736486266572455861023627221584320068359375000000000, -0.0046146803850876869090846810195216676220297813415527343750000000)
 > 99% Confidence Interval for human: (-0.2444771924353245085015373661008197814226150512695312500000000000, 0.1357815402614114819179746973532019183039665222167968750000000000)
--------
Top 100 phrases with highest discordance (variance):
1. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, -1, -1, 1, 1, 1, 1] | Phrase: A soma da inflação acumulada até fevereiro mais o aumento esperado de preços administrados ao longo do ano atinge 2, 4%, o que representa 60% da meta estabelecida. | 21/03/2001
2. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [1, -1, -1, 1, 1, -1, -1, 1] | Phrase: Considerando os itens administrados por contrato e monitorados, com peso de 28, 7% no IPCA de junho, projeta-se uma inflação de 13, 1% em 2003, 1, 0   menor do que o projetado no mês anterior, apesar da significativa elevação da projeção acerca dos reajustes das tarifas de telefonia fixa. | 23/07/2003
3. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, -1, 1, 1, 1, -1, 1] | Phrase: Do ponto de vista da demanda agregada, chama atenção a aceleração da formação bruta de capital fixo, que cresceu 16% ante o quarto trimestre de 2006 e, em especial, a mudança de patamar no ritmo de expansão do consumo doméstico, que tende a ser menos volátil que o investimento ao longo do ciclo, de 6, 0% para 8, 6%, sob o mesmo critério de comparação. | 16/04/2008
4. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, 1, -1, -1, -1, 1, 1, 1] | Phrase: No Japão, após três meses consecutivos de inflação apenas moderadamente positiva, a deflação retornou a partir de outubro, com a variação anual do IPC atingindo-0, 5% em novembro. | 18/01/2012
5. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [1, 1, -1, 1, 1, -1, -1, -1] | Phrase: Nesse contexto, informações recentes indicam retomada dos investimentos e continuidade do crescimento do consumo das famílias, favorecido pelas transferências públicas e pelo vigor do mercado de trabalho – que se reflete em taxas de desemprego historicamente baixas e em crescimento dos salários. | 29/05/2013
6. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [1, 1, -1, 1, -1, 1, -1, -1] | Phrase: Informações recentes indicam retomada dos investimentos e continuidade do crescimento do consumo das famílias, esse último favorecido pelas transferências públicas e pelo vigor do mercado de trabalho – que se reflete em taxas de desemprego historicamente baixas e em crescimento dos salários. | 27/11/2013
7. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, -1, 1, -1, 1, 1, 1] | Phrase: No cenário com taxa de juros constante em 6, 50%   e taxa de câmbio constante a R$4, 15/US$ 2, as projeções para a inflação do Copom situam-se em torno de 4, 4% para 2018 e 4, 5% para 2019. | 19/09/2018
8. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, 1, -1, -1, 1, 1, 1] | Phrase: Por outro lado, o Copom reconhece que, neste momento, o choque desinflacionário de demanda, ainda que associado a maior fragilidade fiscal, iniciou um processo de revisão para baixo nas expectativas de inflação, para níveis não compatíveis com as metas, em particular para o horizonte relevante da política monetária. | 06/05/2020
9. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, 1, -1, 1, 1, 1, -1] | Phrase: No cenário com taxa de juros constante a 2, 00%   e taxa de câmbio partindo de R$5, 60/US$, e evoluindo segundo a PPC, as projeções de inflação situam-se em torno de 3, 1% para 2020, 3, 2% para 2021 e 3, 8% para 2022. | 28/10/2020
10. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [1, -1, 1, -1, -1, 1, -1, 1] | Phrase: Entre os riscos de baixa, ressaltam-se (i) uma desaceleração da atividade econômica global mais acentuada do que a projetada; e (ii) os impactos do aperto monetário sincronizado sobre a desinflação global se mostrarem mais fortes do que o esperado. | 13/12/2023
11. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [1, -1, 1, -1, -1, 1, -1, 1] | Phrase: Entre os riscos de baixa, ressaltam-se (i) uma desaceleração da atividade econômica global mais acentuada do que a projetada; e (ii) os impactos do aperto monetário sobre a desinflação global se mostrarem mais fortes do que o esperado. | 06/11/2024
12. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, 1, -1, 1] | Phrase: A projeção para o de seis meses sobre a taxa Selic, seguindo uma especificação do modelo baseada no método de estimação por correção de erros e mantendo-se a taxa Selic constante em 21, 0% ao ano, parte de 640   no quarto trimestre de 2002, seguindo, a partir daí, trajetória descendente, atingindo-90   no final de 2003. | 23/10/2002
13. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, -1, 1, 1] | Phrase: Ainda que a inflação projetada para 2003 no cenário básico esteja acima da meta ajustada de 8, 5%, as perspectivas para a queda da inflação a partir do segundo trimestre do ano são positivas. | 19/03/2003
14. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, 1, -1, 1] | Phrase: Em julho, há indícios de enfraquecimento dos efeitos da recente apreciação cambial sobre os preços no atacado, podendo ocorrer o registro de variações negativas menos acentuadas nos preços agrícolas e industriais. | 23/07/2003
15. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, -1, 1, -1, 1] | Phrase: A pesquisa mensal da Fecomercio SP registrou, em janeiro, elevação de 3, 3% no ICC, que atingiu nível recorde ao registrar 145, 7 pontos em escala que vai de 0 a 200, resultado dos acréscimos de 3, 2% no Índice das Condições Econômicas Atuais (ICEA) e de 3, 3% no Índice de Expectativas do Consumidor (IEC). | 19/01/2005
16. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, 1, 1, -1, -1] | Phrase: O núcleo de inflação para o IPC-Br, calculado pela Fundação Getulio Vargas (FGV) pelo método das médias aparadas simétricas, atingiu 0, 36% em fevereiro, ante 0, 61% em janeiro, totalizando alta de 5, 72% em doze meses. | 16/03/2005
17. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, 1, 1, -1, -1] | Phrase: O núcleo de inflação para o IPCA calculado pelo método das médias aparadas com suavização de itens preestabelecidos situou-se em 0, 45%, ante 0, 49% no mês anterior, e totalizou 7, 4% em doze meses. | 17/08/2005
18. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, -1, 1, 1, -1] | Phrase: O índice de difusão do IPCA registrou elevação da proporção de itens com variações positivas em setembro, 51, 4%, o terceiro mais baixo no período de flutuação do câmbio. | 19/10/2005
19. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, 1, -1, -1, 1] | Phrase: O núcleo de inflação para o IPCA calculado pelo método das médias aparadas com suavização de itens preestabelecidos situou-se em 0, 51%, ante 0, 58% em outubro, e totalizou 7, 02% em doze meses. | 14/12/2005
20. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, 1, 1, -1] | Phrase: No caso dos preços de serviços, cuja dinâmica tende a exibir mais persistência do que a dos preços de bens, a inflação acumulada em doze meses recuou de 6, 48% em novembro para 6, 39% em dezembro (5, 19% em dezembro de 2007). | 21/01/2009
21. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, 1, 1, 1, -1, -1] | Phrase: Como consequência, a expansão da massa salarial real, considerando o rendimento médio real habitual da população ocupada nas seis regiões metropolitanas, atingiu 7, 7% em janeiro, ante o mesmo mês em 2010, e permanece como fator-chave para sustentação do crescimento da demanda doméstica, conquanto haja evidência de que seu ritmo de crescimento deva diminuir nos próximos meses. | 02/03/2011
